,Run ID,Date,Time,Model Name,Model Author,Num Classes,Accuracy,Balanced Accuracy,AUC Score,Average Precision,F1 Score,Precision,Recall,Samples In Train,Samples In Test,Model Description,Column Predicted,Num Features Used,Data and Split Description,Normalized,Num Features Normalized,Feature Extraction,Was Untested Data Predicted,run,stain,num_dead,num_live,size
0,azBw73gPm3QJm,2019-07-23,16:39:56,random_forest_classification,Hamed,2,0.99,0.99,0.9990000000000001,0.9990000000000001,0.99,0.985,0.995,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1c7cpt3djxuj_r1c7fex29q6t2_stain,True,12,False,True,r1c7cpt3djxuj_r1c7fex29q6t2,True,30000.0,30000.0,460.5170185988091
1,aPegjqPlPgqpL,2019-07-23,19:58:20,random_forest_classification,Hamed,2,0.986,0.986,0.997,0.995,0.986,0.977,0.996,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1c7cpt3djxuj_r1c7fex29q6t2_no_stain,True,9,False,True,r1c7cpt3djxuj_r1c7fex29q6t2,False,30000.0,30000.0,426.8697949366878
2,5pN1JLrglO2zb,2019-07-23,16:39:56,random_forest_classification,Hamed,2,0.988,0.988,0.998,0.997,0.988,0.982,0.995,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1cft9hhnhjdb_r1cfwgjmz247y_stain,True,12,False,True,r1cft9hhnhjdb_r1cfwgjmz247y,True,30000.0,30000.0,442.2848629194136
3,56YaRqQQZlmz8,2019-07-23,19:58:20,random_forest_classification,Hamed,2,0.986,0.986,0.996,0.9940000000000001,0.986,0.978,0.9940000000000001,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1cft9hhnhjdb_r1cfwgjmz247y_no_stain,True,9,False,True,r1cft9hhnhjdb_r1cfwgjmz247y,False,30000.0,30000.0,426.8697949366878
4,QRBQd29kLGyqk,2019-07-23,16:39:58,random_forest_classification,Hamed,2,0.99,0.99,0.9990000000000001,0.9990000000000001,0.99,0.992,0.988,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1cyeyjwbefaf2_r1cys7qtr6j42x_stain,True,12,False,True,r1cyeyjwbefaf2_r1cys7qtr6j42x,True,30000.0,30000.0,460.5170185988091
5,Eml681B9p1zAe,2019-07-23,19:58:26,random_forest_classification,Hamed,2,0.98,0.98,0.9940000000000001,0.991,0.98,0.97,0.99,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1cyeyjwbefaf2_r1cys7qtr6j42x_no_stain,True,9,False,True,r1cyeyjwbefaf2_r1cys7qtr6j42x,False,30000.0,30000.0,391.2023005428145
6,QRBxGWQPojNYe,2019-07-23,16:39:58,random_forest_classification,Hamed,2,0.9840000000000001,0.983,0.998,0.997,0.985,0.981,0.99,43494,10874,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1c84xwx57y95_r1c8ejz8jfg9z_stain,True,12,False,True,r1c84xwx57y95_r1c8ejz8jfg9z,True,24368.0,30000.0,413.5166556742361
7,aPQ6agkRqe7bd,2019-07-23,19:58:22,random_forest_classification,Hamed,2,0.9620000000000001,0.9590000000000001,0.9890000000000001,0.9890000000000001,0.966,0.9470000000000001,0.987,43494,10874,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1c84xwx57y95_r1c8ejz8jfg9z_no_stain,True,9,False,True,r1c84xwx57y95_r1c8ejz8jfg9z,False,24368.0,30000.0,327.01691192557536
8,5xWrGzO2OpYM,2019-07-23,16:43:54,random_forest_classification,Hamed,2,0.9840000000000001,0.9840000000000001,0.998,0.998,0.985,0.9790000000000001,0.99,46125,11532,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1c84y2j7n7bu_r1c8aw59wfxy8_stain,True,12,False,True,r1c84y2j7n7bu_r1c8aw59wfxy8,True,27657.0,30000.0,413.5166556742361
9,66PYyDoEzgVOO,2019-07-23,19:58:24,random_forest_classification,Hamed,2,0.96,0.9590000000000001,0.991,0.991,0.9620000000000001,0.9440000000000001,0.981,46125,11532,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1c84y2j7n7bu_r1c8aw59wfxy8_no_stain,True,9,False,True,r1c84y2j7n7bu_r1c8aw59wfxy8,False,27657.0,30000.0,321.88758248681995
